DSO,Rank,Month
100064241170000672,2,
100006880170000991,2000,202601
100006095170001177,10,
100063685170001732,22000,202509
100006280170001840,22,
100006280170001848,3000,202606
100068125170000122,10000,202509
100006159170000875,11000,202511
100061819170000583,4,
100064127170001943,5,202603
100068125170000130,15,202606
100051369170000912,1000,202602
100061489170003737,30000,
100063748170001391,16,
100064113170000400,1,202510
100064230170001496,12000,202512
100068125170000138,13,202607
100006999170000498,3,
100007004170000120,3,
100060639170002673,4,
100061961170001019,9,
100063750170000639,2,
100063884170001396,14,202605
100063976170004512,31,
100064113170000404,2000,202510
100064127170001960,4000,202602
100068003170000120,12,202512
100006790170000507,1000,202605
100006525170000856,11,202605
100064106170002571,6,
100064127170001980,2000,202602
100068125170000162,10,202607
100006280170001885,8,
100064106170002578,7000,
100064106170002586,18,
100064106170002594,8,
100068009170000276,4,
100068125170000175,4000,202509
100061115170002177,2,
100068125170000181,3000,202509
100068126170000035,6,202606
100006159170000627,3000,202509
100006730170000635,20,202609
100068126170000080,2,
100064100170000661,3000,202603
100063734170001345,21000,202508
100059898170000118,2000,202511
100006485170001326,1,202605
100064245170000312,14,202601
100063685170001047,9000,202509
100064160170000951,7,202510
100006730170001086,3,
100064206170000935,1000,202511
100069964170000956,2,
100061972170000938,11000,
100006385170002667,2,
100006760170001413,7,
100069969170000690,3,
100060512170002569,33,
100063795170000960,2000,202601
100069969170000696,6,202606
100006730170001083,5,
100006870170000889,14000,202510
100069977170001381,1000,202510
100006385170001905,31,202607
100006280170001331,3000,202603
100060639170002239,8,202511
100063976170004572,8,
100064106170002603,10,
100006095170001175,3,
100006740170001430,4,
100063795170000961,3,
100006860170001480,4,
100064230170001569,2000,202509
100007001170001111,3,
100061489170003883,9,
100061489170003891,9,
100060512170002551,8,
100006860170001127,6000,202510
100006260170001995,1000,202510
100061115170002169,9,
100064106170002535,13000,
100060697170000616,19,202603
100059897170000383,7000,202512
100006810170000791,2,
100064208170001107,5,
100084086170001104,14,
100006345170000564,7,202602
100007001170001108,4,
100064219170001360,2,
100084086170001115,6,
100084086170001120,3,
100006125170002598,8,
100111868170000220,5,202604
100111868170000224,10,
100064106170002622,6,
100111868170000227,2000,
100060512170001696,99,
100063843170000583,27,202605
100059897170000335,3000,202509
100006155170001337,2,
100006335170000668,3,
100006730170000478,16000,202510
100006125170001889,42,202602
100006125170001682,26000,202509
100060579170000623,1000,202604
100060579170000631,11,
100006435170000770,13,202607
100006125170001897,40,202602
100061489170002575,58000,202601
100006760170000861,6000,202509
100064100170000533,5000,202509
100006470170000855,6000,202508
100063653170000820,68,
100006525170000552,9000,202509
100060632170000635,2000,202512
100006480170001094,17,202607
100064219170000879,3000,
100064117170001187,2000,202511
100006525170000584,2000,202509
100069957170000228,2000,202510
100006960170000127,1000,
100063793170000598,4000,202508
100006780170000279,4,202604
100059895170000305,13000,202510
100063972170000345,18,202603
100060512170001719,27000,202510
100063843170000599,18,
100006999170000271,13000,202511
100006125170001906,38,202603
100067996170000340,7000,202509
100006317170000885,13,
100006860170001103,14,202603
100006740170000833,14000,202508
100063733170000814,6,202511
100061961170000642,3000,202511
100063976170003436,131,202602
100006790170000225,16,
100061115170001537,13000,202510
100064156170000440,2000,202509
100068126170000074,2000,202511
100006760170000946,8,202607
100006125170001849,6000,202511
100061489170002542,3000,202508
100006860170001094,3000,202512
100063653170000712,4000,202509
100006480170001147,7000,202511
100065284170000688,2000,202510
100064244170000217,19,202605
100006790170000233,14,
100064212170000629,4,202601
100006962170000122,9,202607
100064113170000279,3000,202511
100064230170000983,63,
100006345170000404,8,202609
100006125170001798,57,202512
100067996170000283,19000,202511
100063653170000695,23000,202510
100006470170001469,5,202609
100007004170000117,1000,202511
100061489170003756,5,
